frame,timestamp,L,a,b,agtron_interpolado,origem_video
176,5.732,175.905,128.736,129.461,93.925,v1
177,5.764,175.955,128.814,129.588,93.918,v1
178,5.8,176.153,128.759,129.448,93.909,v1
179,5.832,176.425,128.802,129.604,93.902,v1
180,5.864,176.392,128.916,129.695,93.894,v1
181,5.896,175.671,128.808,129.669,93.887,v1
182,5.928,175.692,129.012,129.275,93.879,v1
183,5.964,175.49,128.795,130.012,93.871,v1
184,5.996,175.757,129.056,129.94,93.863,v1
185,6.028,175.328,129.102,130.097,93.856,v1
186,6.06,174.78,129.22,129.893,93.848,v1
187,6.092,174.413,129.225,129.638,93.84,v1
188,6.128,174.382,129.165,129.843,93.832,v1
189,6.16,175.409,128.98,130.016,93.824,v1
190,6.192,175.489,128.964,129.847,93.817,v1
191,6.224,175.605,129.08,129.792,93.809,v1
192,6.256,175.979,129.208,129.565,93.802,v1
193,6.288,175.474,129.152,129.952,93.794,v1
194,6.324,175.202,129.211,129.855,93.786,v1
195,6.356,175.394,128.945,130.108,93.778,v1
196,6.388,175.469,129.093,129.948,93.771,v1
197,6.42,175.198,129.142,129.893,93.763,v1
198,6.452,175.169,129.099,129.976,93.756,v1
199,6.488,174.97,129.225,129.817,93.747,v1
200,6.52,174.923,129.358,129.952,93.739,v1
201,6.552,174.419,129.353,130.034,93.732,v1
202,6.584,174.162,129.727,129.887,93.724,v1
203,6.616,173.97,129.396,130.339,93.717,v1
204,6.652,173.785,129.782,130.322,93.708,v1
205,6.684,173.867,129.574,130.424,93.701,v1
206,6.716,174.317,129.449,130.688,93.693,v1
207,6.748,174.223,129.849,130.405,93.686,v1
208,6.78,174.735,130.05,130.402,93.678,v1
209,6.812,172.203,129.778,130.675,93.671,v1
210,6.848,172.194,129.925,130.577,93.662,v1
211,6.88,171.613,129.968,130.901,93.654,v1
212,6.912,171.144,130.347,130.796,93.647,v1
213,6.944,170.616,130.41,130.65,93.639,v1
214,6.976,170.102,130.559,130.793,93.632,v1
215,7.012,166.829,130.374,131.128,93.623,v1
216,7.044,166.519,130.572,131.182,93.616,v1
217,7.076,166.293,130.654,131.118,93.608,v1
