frame,timestamp,L,a,b,agtron_interpolado,origem_video
325,10.612,153.811,129.178,130.244,92.296,v1
326,10.644,155.239,129.4,130.009,92.287,v1
327,10.68,155.101,129.222,129.928,92.277,v1
328,10.712,156.068,129.269,130.041,92.268,v1
329,10.744,155.452,129.372,130.094,92.259,v1
330,10.776,156.31,129.377,129.95,92.25,v1
331,10.808,155.623,129.215,130.023,92.241,v1
332,10.844,157.215,129.4,129.939,92.231,v1
333,10.876,156.469,129.414,130.236,92.222,v1
334,10.908,157.635,129.252,129.94,92.213,v1
335,10.94,156.619,129.314,129.786,92.205,v1
336,10.972,155.785,129.055,129.751,92.196,v1
337,11.004,157.038,129.527,129.742,92.187,v1
338,11.04,156.403,128.988,129.696,92.177,v1
339,11.072,155.731,129.161,129.753,92.168,v1
340,11.104,157.614,129.032,129.869,92.159,v1
341,11.136,156.923,128.957,129.573,92.15,v1
342,11.168,157.227,129.02,129.782,92.141,v1
343,11.204,155.778,129.001,129.849,92.131,v1
344,11.236,156.217,129.004,129.899,92.122,v1
345,11.268,157.147,128.927,129.578,92.113,v1
346,11.3,158.199,128.882,129.58,92.104,v1
347,11.332,157.642,128.928,129.58,92.096,v1
348,11.368,157.968,128.881,129.573,92.086,v1
349,11.4,158.159,128.594,130.088,92.077,v1
350,11.432,158.094,128.844,129.585,92.068,v1
351,11.464,157.69,129.127,129.998,92.059,v1
352,11.496,157.791,129.642,130.06,92.05,v1
353,11.528,157.051,129.489,130.191,92.041,v1
354,11.564,156.811,129.446,129.979,92.031,v1
355,11.596,158.235,129.521,130.122,92.022,v1
356,11.628,156.874,129.458,130.257,92.013,v1
357,11.66,155.066,129.542,130.026,92.004,v1
358,11.692,156.083,129.564,129.997,91.995,v1
359,11.728,156.789,129.319,130.003,91.985,v1
360,11.76,155.82,129.2,129.827,91.977,v1
361,11.792,157.114,129.311,129.769,91.968,v1
362,11.824,155.581,129.5,130.097,91.959,v1
363,11.856,154.942,129.093,130.074,91.95,v1
364,11.892,155.285,129.4,130.018,91.94,v1
365,11.924,153.738,129.394,130.004,91.931,v1
366,11.956,155.481,129.549,129.846,91.922,v1
367,11.988,154.473,129.345,129.976,91.913,v1
368,12.02,155.319,129.476,129.995,91.904,v1
369,12.052,155.675,129.647,130.228,91.895,v1
370,12.088,154.197,129.525,130.163,91.885,v1
371,12.12,153.26,129.212,129.985,91.876,v1
372,12.152,153.112,129.282,130.459,91.868,v1
373,12.184,152.277,129.626,129.932,91.859,v1
374,12.216,151.523,129.241,130.097,91.85,v1
375,12.252,151.829,129.446,129.83,91.84,v1
376,12.284,151.833,129.397,130.135,91.831,v1
377,12.316,152.445,129.36,129.766,91.822,v1
378,12.348,152.725,129.197,129.748,91.813,v1
379,12.38,152.159,129.366,129.807,91.804,v1
380,12.416,153.604,128.928,129.877,91.794,v1
381,12.448,151.178,128.847,129.562,91.785,v1
382,12.48,151.143,128.889,129.671,91.776,v1
383,12.512,150.817,128.677,129.825,91.767,v1
384,12.544,151.467,128.756,129.982,91.759,v1
385,12.576,151.005,128.943,129.798,91.75,v1
386,12.612,152.848,128.725,129.699,91.74,v1
387,12.644,152.939,128.638,129.768,91.731,v1
388,12.676,153.855,128.725,129.238,91.722,v1
389,12.708,153.757,128.465,129.685,91.713,v1
390,12.74,154.196,128.382,129.375,91.704,v1
391,12.776,151.21,128.551,129.436,91.694,v1
392,12.808,154.092,128.794,129.107,91.685,v1
393,12.84,155.84,128.517,129.048,91.676,v1
394,12.872,155.832,128.323,128.826,91.667,v1
395,12.904,156.747,128.373,128.635,91.658,v1
396,12.94,155.044,128.493,129.039,91.648,v1
397,12.972,153.055,128.69,129.374,91.64,v1
398,13.004,154.291,128.533,129.562,91.631,v1
399,13.036,154.494,128.486,129.334,91.622,v1
400,13.068,154.86,128.888,129.605,91.613,v1
401,13.1,154.41,128.81,129.582,91.604,v1
402,13.136,154.594,128.657,129.782,91.594,v1
403,13.168,154.331,128.748,129.753,91.585,v1
404,13.2,156.516,128.727,129.436,91.576,v1
405,13.232,154.571,128.27,129.649,91.567,v1
406,13.264,155.855,128.595,129.722,91.558,v1
407,13.3,153.568,128.266,129.837,91.548,v1
408,13.332,152.792,128.203,129.588,91.539,v1
409,13.364,152.973,128.107,129.255,91.53,v1
410,13.396,153.25,127.917,129.696,91.522,v1
411,13.428,154.32,128.056,129.511,91.513,v1
412,13.464,153.215,127.888,129.495,91.503,v1
413,13.496,150.062,127.915,129.103,91.494,v1
414,13.528,148.453,128.07,128.915,91.485,v1
415,13.56,149.608,127.335,128.403,91.476,v1
