frame,timestamp,L,a,b,fase
388,12.676,166.74,129.666,130.123,
389,12.708,166.893,129.472,130.711,
390,12.74,166.719,129.49,131.077,
391,12.776,165.151,129.58,130.413,
392,12.808,165.309,129.839,130.432,
393,12.84,166.747,129.705,130.323,
394,12.872,166.486,129.537,130.302,
395,12.904,166.139,129.617,130.413,
396,12.94,165.532,129.709,130.7,
397,12.972,165.494,129.729,130.605,
398,13.004,165.854,129.627,130.925,
399,13.036,166.458,129.317,130.661,
400,13.068,166.397,129.56,130.651,
401,13.1,166.29,129.659,130.365,
402,13.136,166.403,129.355,130.62,
403,13.168,166.242,129.503,130.344,
404,13.2,166.983,129.616,130.112,
405,13.232,167.956,129.134,130.341,
406,13.264,168.504,129.288,130.253,
407,13.3,165.762,129.063,130.251,
408,13.332,166.376,129.151,130.042,
409,13.364,166.41,129.118,130.009,
410,13.396,166.117,128.775,130.183,
411,13.428,165.929,128.863,130.196,
412,13.464,166.381,128.702,130.054,
413,13.496,162.785,128.825,129.909,
414,13.528,162.487,129.04,129.825,
415,13.56,162.807,128.525,129.815,
416,13.592,163.312,128.739,129.889,
417,13.624,163.839,128.62,129.903,
418,13.66,163.394,128.682,129.866,
419,13.692,163.277,128.977,129.758,
420,13.724,162.842,128.535,130.069,
421,13.756,163.452,128.694,130.164,
422,13.788,160.708,128.624,130.33,
423,13.824,159.955,128.973,130.031,
424,13.856,159.632,128.924,130.132,
425,13.888,159.639,128.932,130.394,
426,13.92,159.473,129.289,130.161,
427,13.952,159.862,129.022,130.462,
428,13.988,158.754,129.16,130.335,
429,14.02,159.081,129.338,130.112,
430,14.052,159.532,129.118,130.262,
431,14.084,160.515,129.152,130.274,
432,14.116,159.28,129.206,130.415,
433,14.148,157.441,129.542,130.478,
434,14.184,157.934,129.312,130.852,
435,14.216,156.614,129.189,130.26,
436,14.248,156.056,129.422,130.686,
437,14.28,156.522,129.617,130.744,
438,14.312,157.113,129.266,130.811,
439,14.348,156.688,129.521,130.736,
440,14.38,156.737,129.507,130.624,
441,14.412,156.418,129.737,130.645,
442,14.444,155.528,129.714,130.918,
443,14.476,155.655,129.726,131.014,
444,14.512,155.002,129.854,130.975,
445,14.544,154.702,130.001,131.365,
446,14.576,154.177,130.198,131.744,
447,14.608,153.731,130.413,131.225,
448,14.64,154.506,130.394,131.427,
449,14.672,152.534,130.102,131.285,
450,14.708,151.293,130.064,131.308,
451,14.74,150.367,130.219,131.263,
452,14.772,151.315,129.938,131.48,
453,14.804,152.447,130.097,131.131,
454,14.836,154.254,129.407,131.117,
455,14.872,154.652,129.55,131.303,
456,14.904,153.928,129.765,131.044,
457,14.936,153.35,130.039,131.182,
458,14.968,151.608,129.66,131.226,
459,15.0,151.745,130.079,131.416,
460,15.036,151.873,130.019,131.292,
461,15.068,151.924,130.332,130.833,
462,15.1,151.836,129.553,130.782,
463,15.132,151.585,129.68,130.719,
464,15.164,150.94,129.885,130.937,
465,15.196,151.492,129.734,131.218,
466,15.232,150.155,130.002,131.103,
467,15.264,149.343,129.852,131.347,
468,15.296,148.285,130.102,130.875,
469,15.328,149.342,129.577,131.062,
470,15.36,149.887,129.746,130.807,
471,15.396,149.795,129.393,130.994,
472,15.428,150.993,129.756,130.761,
473,15.46,150.142,129.736,130.901,
474,15.492,151.599,129.595,131.467,
475,15.524,152.554,129.489,130.693,
476,15.56,151.856,129.402,131.001,
477,15.592,151.428,129.408,130.928,
478,15.624,153.593,129.337,131.34,
479,15.656,154.611,129.297,131.31,
480,15.688,156.993,128.834,131.065,
481,15.72,156.324,129.229,130.517,
482,15.756,155.711,129.037,131.03,
483,15.788,156.846,129.174,131.071,
484,15.82,157.784,128.99,131.031,
485,15.852,158.081,129.011,130.753,
486,15.884,157.819,129.182,130.752,
487,15.92,159.001,129.13,130.926,
488,15.952,158.928,129.322,130.934,
489,15.984,158.287,129.248,130.856,
490,16.016,158.329,128.896,130.541,
491,16.048,158.605,128.995,130.201,
492,16.084,157.919,128.872,130.495,
493,16.116,158.201,128.511,130.22,
494,16.148,159.576,128.561,130.533,
495,16.18,160.346,128.59,130.136,
496,16.212,161.673,128.673,130.162,
497,16.244,162.489,128.579,130.428,
498,16.28,163.008,128.325,130.442,
499,16.312,163.504,128.457,130.227,
500,16.344,164.594,128.304,130.225,
501,16.376,164.699,128.649,130.049,
502,16.408,164.027,128.335,130.333,
503,16.444,164.252,128.499,130.504,
504,16.476,164.453,128.402,130.336,
505,16.508,164.697,128.429,130.352,
506,16.54,165.044,128.237,130.268,
507,16.572,165.776,128.396,129.969,
508,16.608,165.293,128.355,129.945,
509,16.64,165.067,128.148,129.846,
510,16.672,164.967,127.54,129.988,
511,16.704,165.914,127.475,129.975,
512,16.736,166.357,127.67,129.731,
513,16.768,166.128,127.816,129.833,
514,16.804,166.537,128.299,129.968,
515,16.836,165.342,128.157,129.906,
516,16.868,164.676,127.95,130.111,
517,16.9,164.748,127.806,129.776,
518,16.932,164.752,127.847,129.734,
519,16.968,164.661,128.237,129.742,
520,17.0,164.429,127.803,130.136,
521,17.032,164.002,127.971,129.768,
522,17.064,163.599,127.822,130.175,
523,17.096,163.535,128.518,130.205,
524,17.132,162.903,128.532,130.105,
525,17.164,162.901,128.199,130.364,
526,17.196,160.667,128.631,130.361,
527,17.228,159.95,128.694,129.983,
528,17.26,159.962,128.552,130.058,
529,17.292,160.924,128.506,129.927,
530,17.328,161.149,128.365,130.079,
531,17.36,160.887,128.351,130.135,
532,17.392,160.362,128.513,130.039,
533,17.424,160.308,128.395,129.98,
534,17.456,160.187,127.97,129.874,
535,17.492,160.622,127.935,129.996,
536,17.524,161.736,128.009,129.777,
537,17.556,161.139,127.851,129.814,
538,17.588,161.281,127.865,129.67,
539,17.62,162.222,127.691,129.807,
540,17.656,162.442,127.73,129.876,
541,17.688,163.643,127.629,130.071,
542,17.72,163.391,127.947,129.86,
543,17.752,163.525,127.954,129.598,
544,17.784,163.269,127.848,129.583,
545,17.816,163.906,127.884,129.521,
546,17.852,163.719,127.601,129.386,
547,17.884,163.27,127.698,129.316,
548,17.916,163.529,127.573,129.256,
549,17.948,163.421,127.718,129.502,
550,17.98,162.607,127.662,129.568,
551,18.016,162.364,127.653,129.626,
552,18.048,163.089,127.536,129.589,
553,18.08,162.525,127.36,129.679,
554,18.112,162.163,127.382,129.242,
555,18.144,162.561,127.471,129.402,
556,18.18,162.993,127.274,129.588,
557,18.212,162.897,127.221,129.754,
558,18.244,160.983,127.351,129.549,
559,18.276,160.4,127.293,129.619,
560,18.308,160.875,127.054,129.553,
561,18.34,160.771,127.574,129.383,
562,18.376,160.202,127.556,129.292,
563,18.408,161.034,127.212,129.075,
564,18.44,159.353,127.107,128.835,
565,18.472,157.799,126.943,129.311,
566,18.504,157.99,126.338,129.046,
567,18.54,157.668,126.498,128.783,
568,18.572,156.524,126.257,128.737,
569,18.604,158.914,126.238,129.005,
570,18.636,156.629,126.702,128.546,
571,18.668,153.779,126.379,128.945,
572,18.704,151.488,126.956,128.789,
573,18.736,154.105,126.915,129.072,
574,18.768,154.289,127.035,129.085,
575,18.8,155.463,126.604,128.832,
576,18.832,153.818,126.125,128.298,
577,18.864,153.757,125.979,127.846,
578,18.9,154.025,126.052,127.671,
579,18.932,153.005,125.822,127.888,
580,18.964,150.877,125.307,127.648,
581,18.996,153.208,124.552,128.059,
582,19.028,152.688,124.126,128.062,
583,19.064,154.165,124.316,127.663,
584,19.096,151.027,124.142,127.588,
585,19.128,151.362,124.306,127.602,
586,19.16,150.47,123.846,127.261,
587,19.192,150.534,123.752,127.321,
588,19.228,150.201,123.592,127.663,
589,19.26,150.772,123.673,127.603,
590,19.292,145.543,123.432,127.411,
591,19.324,141.869,123.221,127.028,
592,19.356,142.71,123.131,127.028,
593,19.388,145.409,123.628,126.962,
594,19.424,145.697,122.829,126.899,
595,19.456,145.958,122.91,126.933,
596,19.488,143.109,122.641,126.939,
597,19.52,141.989,122.45,126.888,
598,19.552,142.369,122.177,126.567,
599,19.588,143.981,122.367,126.616,
600,19.62,143.901,122.405,126.287,
601,19.652,142.026,122.185,126.362,
602,19.684,141.564,122.201,126.243,
603,19.716,144.989,122.441,126.542,
604,19.752,146.042,122.732,126.628,
605,19.784,146.53,122.993,126.688,
606,19.816,146.161,122.927,127.271,
607,19.848,145.68,123.669,127.576,
608,19.88,146.028,123.427,127.837,
609,19.912,144.832,123.847,127.685,
610,19.948,145.895,123.502,127.396,
611,19.98,144.342,123.967,127.294,
612,20.012,144.757,123.624,127.148,
613,20.044,141.648,123.589,127.458,
614,20.076,143.439,123.919,127.393,
615,20.112,141.798,123.741,127.631,
616,20.144,141.703,123.688,127.993,
617,20.176,138.298,123.546,128.069,
618,20.208,142.684,123.808,127.474,
619,20.24,143.022,124.03,126.867,
620,20.277,140.868,123.857,127.547,
621,20.308,142.081,123.835,127.114,
622,20.34,142.86,123.911,127.431,
623,20.372,138.234,124.675,127.642,
624,20.404,138.14,124.826,127.986,
625,20.436,140.706,124.729,128.319,
626,20.472,139.41,124.747,128.56,
627,20.504,140.605,124.728,128.931,
628,20.536,142.17,124.826,128.718,
629,20.568,141.676,124.863,129.022,
630,20.6,138.816,125.442,128.57,
631,20.636,138.089,125.333,128.977,
632,20.668,138.471,125.64,128.407,
633,20.7,138.068,124.898,129.092,
634,20.732,138.55,124.775,128.593,
635,20.764,141.851,124.969,128.249,
636,20.8,141.946,124.931,128.129,
637,20.832,140.87,124.953,128.345,
638,20.864,140.296,124.41,128.468,
639,20.896,141.807,124.585,128.198,
640,20.928,141.99,124.519,128.537,
641,20.96,140.947,124.232,128.528,
642,20.996,140.526,124.494,127.876,
643,21.028,141.043,124.757,128.04,
644,21.06,141.106,124.583,127.949,
645,21.092,139.111,124.56,128.172,
646,21.124,139.837,124.759,127.995,
647,21.16,143.904,124.538,127.562,
648,21.192,145.416,124.15,127.589,
649,21.224,144.43,124.319,127.309,
650,21.256,143.513,124.525,127.518,
651,21.289,142.717,124.088,128.058,
652,21.325,143.695,124.51,127.582,
653,21.356,143.653,124.219,127.987,
654,21.388,144.362,124.367,127.679,
655,21.42,143.289,124.005,127.912,
656,21.452,143.038,124.377,127.627,
657,21.485,143.016,124.454,128.137,
658,21.52,144.605,124.243,128.128,
659,21.552,142.087,124.355,127.639,
660,21.584,141.757,124.106,127.883,
661,21.616,142.024,124.301,127.924,
662,21.648,141.56,124.105,127.895,
663,21.684,141.497,124.604,127.959,
664,21.716,142.723,124.364,128.12,
665,21.748,142.508,124.479,128.036,
666,21.78,142.768,124.524,127.601,
667,21.812,143.568,124.175,128.141,
668,21.849,142.09,124.183,127.907,
669,21.88,143.155,124.204,128.015,
670,21.912,139.978,124.521,127.701,
671,21.944,138.664,123.946,128.313,
672,21.977,140.612,123.964,128.24,
673,22.008,140.647,124.112,128.278,
674,22.045,141.017,123.649,128.758,
675,22.077,143.516,124.262,128.175,
676,22.109,144.781,124.161,128.109,
677,22.141,141.663,124.203,128.017,
678,22.173,141.567,123.889,128.207,
679,22.208,142.976,123.937,127.596,
680,22.241,143.049,123.511,127.733,
681,22.273,141.445,123.723,127.749,
682,22.305,141.18,123.69,127.891,
683,22.337,140.795,123.891,127.277,
684,22.373,146.996,123.522,127.642,
685,22.405,145.157,123.555,127.494,
686,22.437,144.3,124.191,127.481,
687,22.469,142.209,123.495,127.592,
688,22.5,142.237,123.833,127.497,
689,22.532,144.856,123.794,127.598,
690,22.569,141.652,124.122,127.732,
691,22.601,142.083,124.273,127.715,
692,22.633,142.967,124.263,127.841,
693,22.665,141.872,123.821,127.958,
694,22.697,139.673,124.176,127.524,
695,22.733,138.647,123.466,127.835,
696,22.765,141.433,123.577,128.002,
697,22.797,139.784,123.66,127.686,
698,22.829,138.734,123.723,127.501,
699,22.861,136.131,124.019,127.714,
700,22.897,140.596,124.057,127.973,
701,22.929,142.395,123.861,127.869,
702,22.961,139.116,123.849,127.833,
703,22.993,137.264,123.794,128.244,
704,23.024,138.024,124.189,127.455,
705,23.056,137.836,124.04,127.42,
706,23.093,136.783,123.666,127.722,
707,23.125,134.856,123.906,127.778,
708,23.157,134.85,124.467,127.731,
709,23.189,135.731,124.166,128.198,
710,23.221,136.414,124.1,128.254,
711,23.256,136.0,124.195,127.979,
712,23.289,134.6,124.113,128.067,
713,23.32,136.927,124.17,127.333,
714,23.352,134.713,123.767,127.901,
715,23.385,136.345,124.058,127.704,
716,23.421,135.043,124.172,127.676,
717,23.453,133.104,124.556,127.533,
718,23.485,136.408,124.143,127.784,
719,23.517,137.539,123.939,127.939,
720,23.549,136.525,123.768,127.959,
721,23.581,133.543,124.448,127.235,
722,23.617,134.815,124.077,127.148,
723,23.649,134.921,123.8,127.443,
724,23.681,137.182,123.986,127.159,
725,23.713,135.429,123.963,127.537,
726,23.745,133.943,124.299,127.93,
727,23.781,134.568,124.219,127.696,
728,23.813,136.598,124.392,127.771,
729,23.845,137.839,124.102,128.333,
730,23.877,135.313,124.348,128.013,
731,23.909,136.762,124.327,128.529,
732,23.945,139.076,124.277,127.89,
733,23.977,139.934,124.304,127.833,
734,24.009,140.169,124.042,127.913,
